Name,Type,Subtype,Language,en Translation,Category,Subcategory,Pricing Category,Length,Under offer,Offer date,Sold price,Sold date,domainname.tld,createprice,renewprice,transferprice,Registrar,Status,Allocated?
concrete,Premium,Make offer,en,,Industry,Materials,1,8,,,,,concrete.eco,,50,50,,,
condo,Premium,Make offer,en,,Home,General,1,5,,,,,condo.eco,,50,50,,,
conservation,Premium,"Make offer,Future grant",en,,Science,General,1,12,,,,,conservation.eco,,50,50,,,
consider,Premium,Make offer,en,,Science,Verbs,1,8,,,,,consider.eco,,50,50,,,
construction,Premium,"Make offer,Future grant",en,,Industry,General,1,12,,,,,construction.eco,,50,50,,,
consultant,Premium,Make offer,en,,Business,General,1,10,,,,,consultant.eco,,50,50,,,
consulting,Premium,Make offer,en,,Business,General,1,10,,,,,consulting.eco,,50,50,,,
consumer,Premium,Make offer,en,,Society,Shopping,1,8,,,,,consumer.eco,,50,50,,,
consumption,Premium,Make offer,en,,,,1,11,,,,,consumption.eco,,50,50,,,
content,Premium,Make offer,en,,Generic,General,1,7,,,,,content.eco,,50,50,,,
cook,Premium,Make offer,en,,Shopping,Food,1,4,,,,,cook.eco,,50,50,,,
cooking,Premium,Make offer,en,,Hobbies,Food,1,7,,,,,cooking.eco,,50,50,,,
coop,Premium,Make offer,en,,NonProfit,General,1,4,,,,,coop.eco,,50,50,,,
copper,Premium,Make offer,en,,Industry,Commodity,1,6,,,,,copper.eco,,50,50,,,
coral,Premium,"Make offer,Future grant",en,,Science,Eco,1,5,,,,,coral.eco,,50,50,,,
coralreefs,Premium,"Make offer,Future grant",en,,Science,Eco,1,10,,,,,coralreefs.eco,,50,50,,,
corn,Premium,Make offer,en,,Industry,Commodity,1,4,,,,,corn.eco,,50,50,,,
cosmetic,Premium,Make offer,en,,Products,Beauty,1,8,,,,,cosmetic.eco,,50,50,,,
cosmetics,Premium,Make offer,en,,Products,Beauty,1,9,,,,,cosmetics.eco,,50,50,,,
cotton,Premium,"Make offer,Future grant",en,,Industry,Materials,1,6,,,,,cotton.eco,,50,50,,,
create,Premium,Make offer,en,,Generic,General,1,6,,,,,create.eco,,50,50,,,
crudeoil,Premium,Make offer,en,,Industry,Commodity,1,8,,,,,crudeoil.eco,,50,50,,,
cruise,Premium,Make offer,en,,Travel,Transportation,1,6,,,,,cruise.eco,,50,50,,,
cyber,Premium,Make offer,en,,Generic,General ,1,5,,,,,cyber.eco,,50,50,,,
cycle,Premium,Make offer,en,,Products,Sports,1,5,,,,,cycle.eco,,50,50,,,
d,Premium,"Reserved,Make offer",en,,Generic,Single Letter,1,1,,,"$6,000","June 6, 2017",d.eco,,50,50,,Sold under NDA,checked
dad,Premium,Make offer,en,,Society,People,1,3,,,,,dad.eco,,50,50,,,
dating,Premium,Make offer,en,,Generic,General,1,6,,,,,dating.eco,,50,50,,,
derivatives,Premium,Make offer,en,,Industry,Commodity,1,11,,,,,derivatives.eco,,50,50,,,
desalinization,Premium,Make offer,en,,Science,Eco,1,14,,,,,desalinization.eco,,50,50,,,
design,Premium,Make offer,en,,Arts,Design,1,6,,,,,design.eco,,50,50,,,
diamond,Premium,Make offer,en,,Jewelry,Materials,1,7,,,,,diamond.eco,,50,50,,,
diamonds,Premium,Make offer,en,,Jewelry,Materials,1,8,,,,,diamonds.eco,,50,50,,,
diet,Premium,Make offer,en,,Health,Fitness,1,4,,,,,diet.eco,,50,50,,,
digital,Premium,Make offer,en,,Technology,General,1,7,,,,,digital.eco,,50,50,,,
dip,Premium,Make offer,en,,Combinations,Acronym,1,3,,,,,dip.eco,,50,50,,,
directaction,Premium,"Make offer,Future grant",en,,Science,Green,1,12,,,,,directaction.eco,,50,50,,,
discount,Premium,Make offer,en,,Shopping,General ,1,8,,,,,discount.eco,,50,50,,,
doctors,Premium,"Make offer,Future grant",en,,Profession,General,1,7,,,,,doctors.eco,,50,50,,,
donate,Premium,"Make offer,Future grant",en,,NonProfit,Verbs,1,6,,,,,donate.eco,,50,50,,,
drink,Premium,Make offer,en,,Generic,General,1,5,,,,,drink.eco,,50,50,,,
e,Premium,"Reserved,Make offer",en,,Generic,General,1,1,,,,,e.eco,,50,50,,,
earth,Premium,"Make offer,Future grant",en,,Science,Eco,1,5,,,,,earth.eco,,50,50,,,
earthcharter,Premium,"Make offer,Future grant",en,,Science,Eco,1,12,,,,,earthcharter.eco,,50,50,,,
earthday,Premium,"Make offer,Future grant",en,,Society,Events,1,8,,,,,earthday.eco,,50,50,,,
easy,Premium,Make offer,en,,Generic,General ,1,4,,,,,easy.eco,,50,50,,,
eat,Premium,Make offer,en,,Generic,Food,1,3,,,,,eat.eco,,50,50,,,
ebike,Premium,Make offer,en,,Products,Sports,1,5,,,,,ebike.eco,,50,50,,,
ecology,Premium,"Make offer,Future grant",en,,Science,General,1,7,,,,,ecology.eco,,50,50,,,
economics,Premium,Make offer,en,,Industry,General,1,9,,,,,economics.eco,,50,50,,,
educate,Premium,Make offer,en,,Education,Verbs,1,7,,,,,educate.eco,,50,50,,,
efficiency,Premium,Make offer,en,,Science,Energy,1,10,,,,,efficiency.eco,,50,50,,,
egg,Premium,Make offer,en,,Grocery,Food,1,3,,,,,egg.eco,,50,50,,,
eggs,Premium,Make offer,en,,Grocery,Food,1,4,,,,,eggs.eco,,50,50,,,
electric,Premium,Make offer,en,,Science,Energy,1,8,,,,,electric.eco,,50,50,,,
electronics,Premium,"Make offer,Future grant",en,,Industry,General,1,11,,,,,electronics.eco,,50,50,,,
energystar,Premium,"Make offer,Future grant",en,,Science,Products,1,10,,,,,energystar.eco,,50,50,,,
engage,Premium,"Make offer,Future grant",en,,Generic,Verbs,1,6,,,,,engage.eco,,50,50,,,
environment,Premium,"Make offer,Future grant",en,,Science,Environment,1,11,,,,,environment.eco,,50,50,,,
environmentalimpact,Premium,"Make offer,Future grant",en,,Science,Environment,1,19,,,,,environmentalimpact.eco,,50,50,,,
epa,Premium,Make offer,en,,Combinations,Acronym,1,3,,,,,epa.eco,,50,50,,,
equity,Premium,"Make offer,Future grant",en,,,,1,6,,,,,equity.eco,,50,50,,,
estate,Premium,Make offer,en,,Living,Home,1,6,,,,,estate.eco,,50,50,,,
ethics,Premium,"Make offer,Future grant",en,,Business,Eco,1,6,,,,,ethics.eco,,50,50,,,
europe,Premium,"Make offer,Future grant",en,,Geo,Region,1,6,,,,,europe.eco,,50,50,,,
ev,Premium,Make offer,,,Combinations,Two Character,1,2,,,,,ev.eco,,50,50,,,
event,Premium,Make offer,en,,Living,Events,1,5,,,,,event.eco,,50,50,,,
events,Premium,"Make offer,Future grant",en,,Entertainment,General,1,6,,,,,events.eco,,50,50,,,
everest,Premium,Make offer,en,,Geo,General,1,7,,,,,everest.eco,,50,50,,,
f,Premium,"Reserved,Make offer",en,,Generic,Single Letter,1,1,,,,,f.eco,,50,50,,,
facts,Premium,"Make offer,Future grant",en,,Education,General,1,5,,,,,facts.eco,,50,50,,,
fair,Premium,"Make offer,Future grant",en,,Generic,General,1,4,,,,,fair.eco,,50,50,,,
fairtrade,Premium,"Make offer,Future grant",en,,Business,Eco,1,9,,,,,fairtrade.eco,,50,50,,,
family,Premium,Make offer,en,,Society,People,1,6,,,,,family.eco,,50,50,,,
farm,Premium,"Make offer,Future grant",en,,Home,General,1,4,,,,,farm.eco,,50,50,,,
farming,Premium,"Make offer,Future grant",en,,Industry,General,1,7,,,,,farming.eco,,50,50,,,
fashion,Premium,"Make offer,Future grant",en,,Industry,General,1,7,,,,,fashion.eco,,50,50,,,
fight,Premium,"Make offer,Future grant",en,,Generic,Verbs,1,5,,,,,fight.eco,,50,50,,,
film,Premium,"Make offer,Future grant",en,,Entertainment,Film,1,4,,,,,film.eco,,50,50,,,
finanz,Premium,Make offer,de,Finance,Finance,General,1,6,,,,,finanz.eco,,50,50,,,
finanzas,Premium,Make offer,es,Finance,Finance,General,1,8,,,,,finanzas.eco,,50,50,,,
finanzen,Premium,Make offer,de,Finances,Finance,General,1,8,,,,,finanzen.eco,,50,50,,,
first,Premium,"Make offer,Future grant",en,,Generic,General,1,5,,,,,first.eco,,50,50,,,
fish,Premium,"Make offer,Future grant",en,,Animals,Sealife,1,4,,,,,fish.eco,,50,50,,,
fishery,Premium,Make offer,en,,Science,Fishing,1,7,,,,,fishery.eco,,50,50,,,
fishing,Premium,"Make offer,Future grant",en,,Industry,General,1,7,,,,,fishing.eco,,50,50,,,
fjord,Premium,"Make offer,Future grant",en,,Science,Eco,1,5,,,,,fjord.eco,,50,50,,,
flower,Premium,Make offer,en,,Home,Garden,1,6,,,,,flower.eco,,50,50,,,
fly,Premium,Make offer,en,,Travel,General,1,3,,,,,fly.eco,,50,50,,,
fonds,Premium,Make offer,de,Funds,Finance,General,1,5,,,,,fonds.eco,,50,50,,,
food,Premium,"Make offer,Future grant",en,,Grocery,Food,1,4,,,,,food.eco,,50,50,,,
football,Premium,Make offer,en,,Sports,Recreation,1,8,,,,,football.eco,,50,50,,,
forest,Premium,"Make offer,Future grant",en,,Geo,Region,1,6,,,,,forest.eco,,50,50,,,
forestry,Premium,"Make offer,Future grant",en,,Industry,General,1,8,,,,,forestry.eco,,50,50,,,
forever,Premium,"Make offer,Future grant",en,,Generic,General,1,7,,,,,forever.eco,,50,50,,,
forex,Premium,Make offer,en,,Finance,General ,1,5,,,,,forex.eco,,50,50,,,
fossil,Premium,Make offer,en,,Science,General,1,6,,,,,fossil.eco,,50,50,,,
fossilfuel,Premium,Make offer,en,,Science,Eco,1,10,,,,,fossilfuel.eco,,50,50,,,
fossilfuels,Premium,"Make offer,Future grant",en,,Products,Resources,1,11,,,,,fossilfuels.eco,,50,50,,,
fossils,Premium,Make offer,en,,Animals,Science,1,7,,,,,fossils.eco,,50,50,,,
fracking,Premium,"Make offer,Future grant",en,,Science,Eco,1,8,,,,,fracking.eco,,50,50,,,
fragrances,Premium,Make offer,en,,Products,Beauty,1,10,,,,,fragrances.eco,,50,50,,,
frau,Premium,Make offer,de,Mrs.,Society,People,1,4,,,,,frau.eco,,50,50,,,
free,Premium,Make offer,en,,Generic,General ,1,4,,,,,free.eco,,50,50,,,
freshwater,Premium,"Make offer,Future grant",en,,Geo,Region,1,10,,,,,freshwater.eco,,50,50,,,
fuel,Premium,"Make offer,Future grant",en,,Industry,Materials,1,4,,,,,fuel.eco,,50,50,,,
fuelcell,Premium,Make offer,en,,Science,Eco,1,8,,,,,fuelcell.eco,,50,50,,,
fund,Premium,Make offer,en,,Finance,General,1,4,,,,,fund.eco,,50,50,,,
fur,Premium,Make offer,en,,NonProfit,General,1,3,,,,,fur.eco,,50,50,,,
furniture,Premium,Make offer,en,,Products,Furniture,1,9,,,,,furniture.eco,,50,50,,,
future,Premium,"Make offer,Future grant",en,,Generic,General,1,6,,,,,future.eco,,50,50,,,
g,Premium,"Reserved,Make offer",en,,Generic,Single Letter,1,1,,,,,g.eco,,50,50,,,
game,Premium,Make offer,en,,Generic,General,1,4,,,,,game.eco,,50,50,,,
